Search_method Problem Max_evals Run Score
hill_climber knapPI_16_20_1000_4 10000 47 2893
hill_climber knapPI_16_20_1000_4 10000 48 2893
hill_climber knapPI_16_20_1000_4 10000 49 2557
hill_climber knapPI_16_20_1000_4 10000 50 2893
hill_climber knapPI_16_20_1000_4 10000 51 2557
hill_climber knapPI_16_20_1000_4 10000 52 2893
hill_climber knapPI_16_20_1000_4 10000 53 2893
hill_climber knapPI_16_20_1000_4 10000 54 2893
hill_climber knapPI_16_20_1000_4 10000 55 2682
hill_climber knapPI_16_20_1000_4 10000 56 2651
hill_climber knapPI_16_20_1000_4 10000 57 2682
hill_climber knapPI_16_20_1000_4 10000 58 2651
hill_climber knapPI_16_20_1000_4 10000 59 2893
hill_climber knapPI_16_20_1000_4 10000 60 2893
hill_climber knapPI_16_20_1000_4 10000 61 2893
hill_climber knapPI_16_20_1000_4 10000 62 2893
hill_climber knapPI_16_20_1000_4 10000 63 2651
hill_climber knapPI_16_20_1000_4 10000 64 2893
hill_climber knapPI_16_20_1000_4 10000 65 2893
hill_climber knapPI_16_20_1000_4 10000 66 2893
hill_climber knapPI_16_20_1000_4 10000 67 2893
hill_climber knapPI_16_20_1000_4 10000 68 2893
hill_climber knapPI_16_20_1000_4 10000 69 2557
hill_climber knapPI_16_20_1000_4 10000 70 2893
hill_climber knapPI_16_20_1000_4 10000 71 2893
hill_climber knapPI_16_20_1000_4 10000 72 2893
hill_climber knapPI_16_20_1000_4 10000 73 2893
hill_climber knapPI_16_20_1000_4 10000 74 2893
hill_climber knapPI_16_20_1000_4 10000 75 2557
hill_climber knapPI_16_20_1000_4 10000 76 2893
hill_climber knapPI_16_20_1000_4 10000 77 2557
hill_climber knapPI_16_20_1000_4 10000 78 2651
hill_climber knapPI_16_20_1000_4 10000 79 2893
hill_climber knapPI_16_20_1000_4 10000 80 2682
hill_climber knapPI_16_20_1000_4 10000 81 2557
hill_climber knapPI_16_20_1000_4 10000 82 2893
hill_climber knapPI_16_20_1000_4 10000 83 2893
hill_climber knapPI_16_20_1000_4 10000 84 2893
hill_climber knapPI_16_20_1000_4 10000 85 2682
hill_climber knapPI_16_20_1000_4 10000 86 2893
hill_climber knapPI_16_20_1000_4 10000 87 2557
hill_climber knapPI_16_20_1000_4 10000 88 2682
hill_climber knapPI_16_20_1000_4 10000 89 2893
hill_climber knapPI_16_20_1000_4 10000 90 2893
hill_climber knapPI_16_20_1000_4 10000 91 2893
hill_climber knapPI_16_20_1000_4 10000 92 2893
hill_climber knapPI_16_20_1000_4 10000 93 2893
hill_climber knapPI_16_20_1000_4 10000 94 2682
hill_climber knapPI_16_20_1000_4 10000 95 2893
hill_climber knapPI_16_20_1000_4 10000 96 2593
hill_climber knapPI_16_20_1000_4 10000 97 2893
hill_climber knapPI_16_20_1000_4 10000 98 2893
hill_climber knapPI_16_20_1000_4 10000 99 2682
hill_climber knapPI_11_200_1000_4 10000 0 4700
hill_climber knapPI_11_200_1000_4 10000 1 4980
hill_climber knapPI_11_200_1000_4 10000 2 4820
hill_climber knapPI_11_200_1000_4 10000 3 5140
hill_climber knapPI_11_200_1000_4 10000 4 4540
hill_climber knapPI_11_200_1000_4 10000 5 5060
hill_climber knapPI_11_200_1000_4 10000 6 5060
hill_climber knapPI_11_200_1000_4 10000 7 4900
hill_climber knapPI_11_200_1000_4 10000 8 4820
hill_climber knapPI_11_200_1000_4 10000 9 4980
hill_climber knapPI_11_200_1000_4 10000 10 4780
hill_climber knapPI_11_200_1000_4 10000 11 4740
hill_climber knapPI_11_200_1000_4 10000 12 4620
hill_climber knapPI_11_200_1000_4 10000 13 5060
hill_climber knapPI_11_200_1000_4 10000 14 4860
hill_climber knapPI_11_200_1000_4 10000 15 4860
hill_climber knapPI_11_200_1000_4 10000 16 4820
hill_climber knapPI_11_200_1000_4 10000 17 4660
hill_climber knapPI_11_200_1000_4 10000 18 4700
hill_climber knapPI_11_200_1000_4 10000 19 4820
hill_climber knapPI_11_200_1000_4 10000 20 4980
hill_climber knapPI_11_200_1000_4 10000 21 4620
hill_climber knapPI_11_200_1000_4 10000 22 4740
hill_climber knapPI_11_200_1000_4 10000 23 4820
hill_climber knapPI_11_200_1000_4 10000 24 5100
hill_climber knapPI_11_200_1000_4 10000 25 4700
hill_climber knapPI_11_200_1000_4 10000 26 4780
hill_climber knapPI_11_200_1000_4 10000 27 4940
hill_climber knapPI_11_200_1000_4 10000 28 4900
hill_climber knapPI_11_200_1000_4 10000 29 4820
hill_climber knapPI_11_200_1000_4 10000 30 4620
hill_climber knapPI_11_200_1000_4 10000 31 4900
hill_climber knapPI_11_200_1000_4 10000 32 4980
hill_climber knapPI_11_200_1000_4 10000 33 4820
hill_climber knapPI_11_200_1000_4 10000 34 4540
hill_climber knapPI_11_200_1000_4 10000 35 5140
hill_climber knapPI_11_200_1000_4 10000 36 4900
hill_climber knapPI_11_200_1000_4 10000 37 5100
hill_climber knapPI_11_200_1000_4 10000 38 4820
hill_climber knapPI_11_200_1000_4 10000 39 5140
hill_climber knapPI_11_200_1000_4 10000 40 4900
hill_climber knapPI_11_200_1000_4 10000 41 4740
hill_climber knapPI_11_200_1000_4 10000 42 4500
hill_climber knapPI_11_200_1000_4 10000 43 4620
hill_climber knapPI_11_200_1000_4 10000 44 5060
hill_climber knapPI_11_200_1000_4 10000 45 4660
hill_climber knapPI_11_200_1000_4 10000 46 5020
hill_climber knapPI_11_200_1000_4 10000 47 5100
hill_climber knapPI_11_200_1000_4 10000 48 4820
hill_climber knapPI_11_200_1000_4 10000 49 4820
hill_climber knapPI_11_200_1000_4 10000 50 4780
hill_climber knapPI_11_200_1000_4 10000 51 4700
hill_climber knapPI_11_200_1000_4 10000 52 4940
hill_climber knapPI_11_200_1000_4 10000 53 4740
hill_climber knapPI_11_200_1000_4 10000 54 4420
hill_climber knapPI_11_200_1000_4 10000 55 4620
hill_climber knapPI_11_200_1000_4 10000 56 4980
hill_climber knapPI_11_200_1000_4 10000 57 5060
hill_climber knapPI_11_200_1000_4 10000 58 4940
hill_climber knapPI_11_200_1000_4 10000 59 4940
hill_climber knapPI_11_200_1000_4 10000 60 4740
hill_climber knapPI_11_200_1000_4 10000 61 5020
hill_climber knapPI_11_200_1000_4 10000 62 4740
hill_climber knapPI_11_200_1000_4 10000 63 4900
hill_climber knapPI_11_200_1000_4 10000 64 4820
hill_climber knapPI_11_200_1000_4 10000 65 4820
hill_climber knapPI_11_200_1000_4 10000 66 5020
hill_climber knapPI_11_200_1000_4 10000 67 4780
hill_climber knapPI_11_200_1000_4 10000 68 4860
hill_climber knapPI_11_200_1000_4 10000 69 4740
hill_climber knapPI_11_200_1000_4 10000 70 4780
hill_climber knapPI_11_200_1000_4 10000 71 4780
hill_climber knapPI_11_200_1000_4 10000 72 5100
hill_climber knapPI_11_200_1000_4 10000 73 4980
hill_climber knapPI_11_200_1000_4 10000 74 5100
hill_climber knapPI_11_200_1000_4 10000 75 5100
hill_climber knapPI_11_200_1000_4 10000 76 4900
hill_climber knapPI_11_200_1000_4 10000 77 4860
hill_climber knapPI_11_200_1000_4 10000 78 5100
hill_climber knapPI_11_200_1000_4 10000 79 4620
hill_climber knapPI_11_200_1000_4 10000 80 4860
hill_climber knapPI_11_200_1000_4 10000 81 4740
hill_climber knapPI_11_200_1000_4 10000 82 5020
hill_climber knapPI_11_200_1000_4 10000 83 5020
hill_climber knapPI_11_200_1000_4 10000 84 4860
hill_climber knapPI_11_200_1000_4 10000 85 4940
hill_climber knapPI_11_200_1000_4 10000 86 4980
hill_climber knapPI_11_200_1000_4 10000 87 4980
hill_climber knapPI_11_200_1000_4 10000 88 4860
hill_climber knapPI_11_200_1000_4 10000 89 4660
hill_climber knapPI_11_200_1000_4 10000 90 4900
hill_climber knapPI_11_200_1000_4 10000 91 5100
hill_climber knapPI_11_200_1000_4 10000 92 4820
hill_climber knapPI_11_200_1000_4 10000 93 4700
hill_climber knapPI_11_200_1000_4 10000 94 5020
hill_climber knapPI_11_200_1000_4 10000 95 4900
hill_climber knapPI_11_200_1000_4 10000 96 4980
hill_climber knapPI_11_200_1000_4 10000 97 4900
hill_climber knapPI_11_200_1000_4 10000 98 4860
hill_climber knapPI_11_200_1000_4 10000 99 4780
hill_climber knapPI_13_200_1000_4 10000 0 3637
hill_climber knapPI_13_200_1000_4 10000 1 3620
hill_climber knapPI_13_200_1000_4 10000 2 3663
hill_climber knapPI_13_200_1000_4 10000 3 3611
hill_climber knapPI_13_200_1000_4 10000 4 3620
hill_climber knapPI_13_200_1000_4 10000 5 3637
hill_climber knapPI_13_200_1000_4 10000 6 3637
hill_climber knapPI_13_200_1000_4 10000 7 3654
hill_climber knapPI_13_200_1000_4 10000 8 3620
hill_climber knapPI_13_200_1000_4 10000 9 3603
hill_climber knapPI_13_200_1000_4 10000 10 3620
hill_climber knapPI_13_200_1000_4 10000 11 3620
hill_climber knapPI_13_200_1000_4 10000 12 3620
hill_climber knapPI_13_200_1000_4 10000 13 3680
hill_climber knapPI_13_200_1000_4 10000 14 3620
hill_climber knapPI_13_200_1000_4 10000 15 3637
hill_climber knapPI_13_200_1000_4 10000 16 3637
hill_climber knapPI_13_200_1000_4 10000 17 3603
hill_climber knapPI_13_200_1000_4 10000 18 3637
hill_climber knapPI_13_200_1000_4 10000 19 3620
hill_climber knapPI_13_200_1000_4 10000 20 3603
hill_climber knapPI_13_200_1000_4 10000 21 3611
hill_climber knapPI_13_200_1000_4 10000 22 3663
hill_climber knapPI_13_200_1000_4 10000 23 3611
hill_climber knapPI_13_200_1000_4 10000 24 3620
hill_climber knapPI_13_200_1000_4 10000 25 3637
hill_climber knapPI_13_200_1000_4 10000 26 3611
hill_climber knapPI_13_200_1000_4 10000 27 3620
hill_climber knapPI_13_200_1000_4 10000 28 3663
hill_climber knapPI_13_200_1000_4 10000 29 3637
hill_climber knapPI_13_200_1000_4 10000 30 3663
hill_climber knapPI_13_200_1000_4 10000 31 3637
hill_climber knapPI_13_200_1000_4 10000 32 3663
hill_climber knapPI_13_200_1000_4 10000 33 3637
hill_climber knapPI_13_200_1000_4 10000 34 3663
hill_climber knapPI_13_200_1000_4 10000 35 3645
hill_climber knapPI_13_200_1000_4 10000 36 3663
hill_climber knapPI_13_200_1000_4 10000 37 3620
hill_climber knapPI_13_200_1000_4 10000 38 3603
hill_climber knapPI_13_200_1000_4 10000 39 3637
hill_climber knapPI_13_200_1000_4 10000 40 3603
hill_climber knapPI_13_200_1000_4 10000 41 3637
hill_climber knapPI_13_200_1000_4 10000 42 3637
hill_climber knapPI_13_200_1000_4 10000 43 3620
hill_climber knapPI_13_200_1000_4 10000 44 3620
hill_climber knapPI_13_200_1000_4 10000 45 3620
hill_climber knapPI_13_200_1000_4 10000 46 3628
hill_climber knapPI_13_200_1000_4 10000 47 3603
hill_climber knapPI_13_200_1000_4 10000 48 3637
hill_climber knapPI_13_200_1000_4 10000 49 3637
hill_climber knapPI_13_200_1000_4 10000 50 3637
hill_climber knapPI_13_200_1000_4 10000 51 3603
hill_climber knapPI_13_200_1000_4 10000 52 3620
hill_climber knapPI_13_200_1000_4 10000 53 3628
hill_climber knapPI_13_200_1000_4 10000 54 3620
hill_climber knapPI_13_200_1000_4 10000 55 3620
hill_climber knapPI_13_200_1000_4 10000 56 3654
hill_climber knapPI_13_200_1000_4 10000 57 3603
hill_climber knapPI_13_200_1000_4 10000 58 3620
hill_climber knapPI_13_200_1000_4 10000 59 3620
hill_climber knapPI_13_200_1000_4 10000 60 3620
hill_climber knapPI_13_200_1000_4 10000 61 3603
hill_climber knapPI_13_200_1000_4 10000 62 3620
hill_climber knapPI_13_200_1000_4 10000 63 3620
hill_climber knapPI_13_200_1000_4 10000 64 3611
hill_climber knapPI_13_200_1000_4 10000 65 3637
hill_climber knapPI_13_200_1000_4 10000 66 3611
hill_climber knapPI_13_200_1000_4 10000 67 3637
hill_climber knapPI_13_200_1000_4 10000 68 3603
hill_climber knapPI_13_200_1000_4 10000 69 3680
hill_climber knapPI_13_200_1000_4 10000 70 3654
hill_climber knapPI_13_200_1000_4 10000 71 3663
hill_climber knapPI_13_200_1000_4 10000 72 3637
hill_climber knapPI_13_200_1000_4 10000 73 3637
hill_climber knapPI_13_200_1000_4 10000 74 3603
hill_climber knapPI_13_200_1000_4 10000 75 3620
hill_climber knapPI_13_200_1000_4 10000 76 3654
hill_climber knapPI_13_200_1000_4 10000 77 3637
hill_climber knapPI_13_200_1000_4 10000 78 3603
hill_climber knapPI_13_200_1000_4 10000 79 3663
hill_climber knapPI_13_200_1000_4 10000 80 3611
hill_climber knapPI_13_200_1000_4 10000 81 3663
hill_climber knapPI_13_200_1000_4 10000 82 3663
hill_climber knapPI_13_200_1000_4 10000 83 3637
hill_climber knapPI_13_200_1000_4 10000 84 3620
hill_climber knapPI_13_200_1000_4 10000 85 3611
hill_climber knapPI_13_200_1000_4 10000 86 3637
hill_climber knapPI_13_200_1000_4 10000 87 3637
hill_climber knapPI_13_200_1000_4 10000 88 3663
hill_climber knapPI_13_200_1000_4 10000 89 3620
hill_climber knapPI_13_200_1000_4 10000 90 3603
hill_climber knapPI_13_200_1000_4 10000 91 3603
hill_climber knapPI_13_200_1000_4 10000 92 3603
hill_climber knapPI_13_200_1000_4 10000 93 3637
hill_climber knapPI_13_200_1000_4 10000 94 3637
hill_climber knapPI_13_200_1000_4 10000 95 3620
hill_climber knapPI_13_200_1000_4 10000 96 3611
hill_climber knapPI_13_200_1000_4 10000 97 3611
hill_climber knapPI_13_200_1000_4 10000 98 3663
hill_climber knapPI_13_200_1000_4 10000 99 3637
hill_climber knapPI_16_200_1000_4 10000 0 12921
hill_climber knapPI_16_200_1000_4 10000 1 11098
hill_climber knapPI_16_200_1000_4 10000 2 12711
hill_climber knapPI_16_200_1000_4 10000 3 10797
hill_climber knapPI_16_200_1000_4 10000 4 12278
hill_climber knapPI_16_200_1000_4 10000 5 11534
hill_climber knapPI_16_200_1000_4 10000 6 12108
hill_climber knapPI_16_200_1000_4 10000 7 12317
hill_climber knapPI_16_200_1000_4 10000 8 11491
hill_climber knapPI_16_200_1000_4 10000 9 10276
hill_climber knapPI_16_200_1000_4 10000 10 11344
hill_climber knapPI_16_200_1000_4 10000 11 12091
hill_climber knapPI_16_200_1000_4 10000 12 12058
hill_climber knapPI_16_200_1000_4 10000 13 9758
hill_climber knapPI_16_200_1000_4 10000 14 12436
hill_climber knapPI_16_200_1000_4 10000 15 12128
hill_climber knapPI_16_200_1000_4 10000 16 12332
hill_climber knapPI_16_200_1000_4 10000 17 12332
hill_climber knapPI_16_200_1000_4 10000 18 11510
